GAL,uniprot,gene,Megakaryocyte,Dendritic cell,NK cell,Monocyte,NK T cell,T cell CD4,T cell CD8,B cell
CEP85,Q6P2H3,CEP85,0,0,0,0,0,0,0,0
SH3BGRL3,Q9H299,SH3BGRL3,99999,99999,99999,99999,99999,99999,99999,99999
 ,Q5T124,UBXN11,0,0,0,0,0,0,0,0
CD52,P31358,CD52,99999,99999,0,99999,99999,99999,99999,99999
 ,,AIM1L,0,0,0,0,0,0,0,0
ZNF683,Q8IZ20,ZNF683,0,0,0,0,0,0,0,0
LIN28A,Q9H9Z2,LIN28A,0,0,0,0,0,0,0,0
DHDDS,Q86SQ9,DHDDS,0,0,0,0,0,0,0,0
 ,,RP3.476K8.3,0,0,0,0,0,0,0,0
HMGN2,P05204,HMGN2,99999,99999,99999,99999,99999,99999,99999,99999
RPS6KA1,Q15418,RPS6KA1,0,99999,0,0,0,0,0,0
 ,,RP5.968P14.2,0,0,0,0,0,0,0,0
 ,O14497,ARID1A,0,0,0,0,0,0,0,0
PIGV,Q9NUD9,PIGV,0,0,0,0,0,0,0,0
 ,Q9NUE0,ZDHHC18,0,0,0,0,0,0,0,0
SFN,P31947,SFN,0,0,0,0,0,0,0,0
GPN2,Q9H9Y4,GPN2,0,0,0,0,0,0,0,0
GPATCH3,Q96I76,GPATCH3,0,0,0,0,0,0,0,0
NUDC,Q9Y266,NUDC,0,99999,0,0,0,0,0,0
 ,Q8NAX2,KDF1,0,0,0,0,0,0,0,0
TRNP1,Q6NT89,TRNP1,0,0,0,0,0,0,0,0
FAM46B,,FAM46B,0,0,0,0,0,0,0,0
SLC9A1,P19634,SLC9A1,0,0,0,0,0,0,0,0
WDTC1,Q8N5D0,WDTC1,0,0,0,0,0,0,0,0
TMEM222,Q9H0R3,TMEM222,0,0,0,0,0,0,0,0
SYTL1,Q8IYJ3,SYTL1,0,0,99999,0,0,0,0,0
MAP3K6,O95382,MAP3K6,0,0,0,0,0,0,0,0
 ,Q6UWJ8,CD164L2,0,0,0,0,0,0,0,0
GPR3,P46089,GPR3,0,0,0,0,0,0,0,0
WASF2,Q9Y6W5,WASF2,99999,99999,0,0,0,0,0,0
 ,,RP1.159A19.4,0,0,0,0,0,0,0,0
 ,Q5TGY3,AHDC1,0,0,0,0,0,0,0,0
FGR,P09769,FGR,0,99999,99999,99999,0,0,0,0
 ,,RP11.288L9.1,0,0,0,0,0,0,0,0
IFI6,P09912,IFI6,0,0,0,0,0,0,0,0
 ,,RP11.288L9.4,0,0,0,0,0,0,0,0
FAM76A,Q8TAV0,FAM76A,0,0,0,0,0,0,0,0
STX12,Q86Y82,STX12,0,0,0,0,0,0,0,0
PPP1R8,Q12972,PPP1R8,0,0,0,0,0,0,0,0
 ,,AL109927.1,0,0,0,0,0,0,0,0
 ,Q5TEJ8,THEMIS2,0,0,0,0,0,0,0,0
RPA2,P15927,RPA2,0,0,0,0,0,0,0,0
SMPDL3B,Q92485,SMPDL3B,0,0,0,0,0,0,0,0
 ,,RP11.460I13.2,0,0,0,0,0,0,0,0
XKR8,Q9H6D3,XKR8,0,0,0,0,0,0,0,0
 ,Q99504,EYA3,0,0,0,0,0,0,0,0
PTAFR,P25105,PTAFR,0,0,0,0,0,0,0,0
DNAJC8,O75937,DNAJC8,0,99999,0,0,0,0,0,0
ATPIF1,,ATPIF1,0,99999,99999,0,99999,0,99999,0
 ,,RP5.1092A3.4,0,0,0,0,0,0,0,0
 ,,RP5.1092A3.5,0,0,0,0,0,0,0,0
SESN2,P58004,SESN2,0,0,0,0,0,0,0,0
MED18,Q9BUE0,MED18,0,0,0,0,0,0,0,0
PHACTR4,Q8IZ21,PHACTR4,0,0,0,0,0,0,0,0
RCC1,P18754,RCC1,0,0,0,0,0,0,0,0
TRNAU1AP,Q9NX07,TRNAU1AP,0,0,0,0,0,0,0,0
 ,Q9BXW3,SNHG12,0,99999,0,0,0,0,0,0
TAF12,Q16514,TAF12,0,0,0,0,0,0,0,0
RAB42,Q8N4Z0,RAB42,0,0,0,0,0,0,0,0
 ,,RP11.442N24__B.1,0,0,0,0,0,0,0,0
 ,,RNU11,0,0,0,0,0,0,0,0
GMEB1,Q9Y692,GMEB1,0,0,0,0,0,0,0,0
